T.J. Galiardi,0.049643,0.212826,0.111592,0.040346,0.098144,0.378314,0.109136
Andrei Kostitsyn,0.098794,0.301877,0.254463,0.041342,0.129304,0.040252,0.133968
Zack Stortini,0.027878,0.048067,0.070209,0.646743,0.096732,0.033621,0.076751
Paul Bissonnette,0.047160,0.075313,0.131164,0.348883,0.195321,0.051253,0.150906
Phil Kessel,0.590771,0.136689,0.087704,0.027458,0.053419,0.038959,0.065000
Andrew Cogliano,0.023517,0.063643,0.044672,0.026793,0.046253,0.746104,0.049017
Jake Dowell,0.196183,0.168444,0.167737,0.123455,0.135248,0.073970,0.134963
Paul Stastny,0.283244,0.203610,0.107331,0.063680,0.084870,0.165729,0.091536
Darroll Powe,0.031187,0.066069,0.155856,0.112962,0.386653,0.038019,0.209254
Dustin Boyd,0.015531,0.057795,0.211414,0.015460,0.155503,0.018659,0.525637
Brandon Sutter,0.034378,0.160480,0.242127,0.029792,0.169642,0.053343,0.310238
Mikkel Boedker,0.047338,0.121546,0.364721,0.027335,0.158742,0.025822,0.254495
Cal Clutterbuck,0.078064,0.113877,0.152965,0.217990,0.193814,0.089627,0.153662
Evgeni Malkin,0.369045,0.163569,0.117166,0.078963,0.091446,0.084051,0.095761
Matt Halischuk,0.095933,0.261858,0.187123,0.041740,0.126353,0.102733,0.184260
Mikael Backlund,0.038257,0.080489,0.055243,0.034399,0.053445,0.680008,0.058159
Zack Smith,0.035496,0.062806,0.075386,0.587057,0.098769,0.060675,0.079811
Philippe Dupuis,0.058580,0.109397,0.093937,0.099062,0.107157,0.429636,0.102231
Colton Gillies,0.055192,0.113350,0.127739,0.155414,0.178837,0.214134,0.155333
Ryane Clowe,0.173016,0.220870,0.140764,0.130121,0.117463,0.106780,0.110986
Valtteri Filppula,0.157177,0.385146,0.100005,0.035718,0.068778,0.171888,0.081287
Chris Conner,0.088846,0.132760,0.261900,0.052813,0.176550,0.049102,0.238029
Tim Kennedy,0.061467,0.099194,0.178479,0.122429,0.259895,0.062851,0.215684
Colton Orr,0.067489,0.096853,0.122777,0.363464,0.143011,0.078609,0.127797
Luke Adam,0.072333,0.111464,0.207524,0.097305,0.217235,0.055780,0.238360
Steven Stamkos,0.453420,0.148144,0.106974,0.060131,0.079743,0.066635,0.084954
Joel Perrault,0.161798,0.172887,0.241575,0.046845,0.137672,0.049560,0.189663
Maxim Lapierre,0.043195,0.102886,0.133163,0.202324,0.216886,0.137647,0.163899
Nate Thompson,0.024829,0.107415,0.198214,0.035688,0.281235,0.050577,0.302042
Lauri Korpikoski,0.092616,0.176106,0.342022,0.032174,0.134149,0.031316,0.191617
Brandon Prust,0.058556,0.113834,0.108240,0.366623,0.125849,0.120432,0.106466
Gilbert Brule,0.122151,0.218051,0.285582,0.047905,0.142140,0.036222,0.147949
Kris Versteeg,0.134107,0.498089,0.128406,0.025467,0.066273,0.056875,0.090784
Jannik Hansen,0.031959,0.076971,0.321164,0.030794,0.190840,0.023952,0.324320
Wojtek Wolski,0.748387,0.090583,0.051056,0.016555,0.031555,0.024146,0.037718
Ryan White,0.071284,0.094142,0.116534,0.387916,0.138081,0.073434,0.118608
